pop1,pop2,dist
0,0,0
0,1,0.265118
0,2,0.460909
0,3,0.841099
0,4,0.486741
0,5,0.425217
0,6,0.200227
0,7,0.322035
0,8,0.251377
0,9,0.45323
0,10,0.126874
0,11,0.180526
0,12,0.291724
0,13,0.102044
0,14,0.611964
0,15,0.420447
0,16,0.802712
0,17,0.744754
0,18,0.588937
0,19,0.50143
1,0,0.265118
1,1,0
1,2,0.518829
1,3,0.969026
1,4,0.692212
1,5,0.370116
1,6,0.465295
1,7,0.557319
1,8,0.501885
1,9,0.717958
1,10,0.387121
1,11,0.377139
1,12,0.298668
1,13,0.3326
1,14,0.839748
1,15,0.680616
1,16,0.958321
1,17,0.878385
1,18,0.785061
1,19,0.399803
2,0,0.460909
2,1,0.518829
2,2,0
2,3,0.462236
2,4,0.363095
2,5,0.211448
2,6,0.507237
2,7,0.389201
2,8,0.627104
2,9,0.685131
2,10,0.4427
2,11,0.312019
2,12,0.220189
2,13,0.384031
2,14,0.525288
2,15,0.561652
2,16,0.477224
2,17,0.380449
2,18,0.401248
2,19,0.286635
3,0,0.841099
3,1,0.969026
3,2,0.462236
3,3,0
3,4,0.421687
3,5,0.666334
3,6,0.785165
3,7,0.592801
3,8,0.903214
3,9,0.828423
3,10,0.764743
3,11,0.660904
3,12,0.674507
3,13,0.741748
3,14,0.45882
3,15,0.689235
3,16,0.11279
3,17,0.0966944
3,18,0.338244
3,19,0.721622
4,0,0.486741
4,1,0.692212
4,2,0.363095
4,3,0.421687
4,4,0
4,5,0.539517
4,6,0.37801
4,7,0.182384
4,8,0.488925
4,9,0.414125
4,10,0.380617
4,11,0.319222
4,12,0.45997
4,13,0.386016
4,14,0.166798
4,15,0.273247
4,16,0.347013
4,17,0.332006
4,18,0.104147
4,19,0.630552
5,0,0.425217
5,1,0.370116
5,2,0.211448
5,3,0.666334
5,4,0.539517
5,5,0
5,6,0.550174
5,7,0.503685
5,8,0.651744
5,9,0.776869
5,10,0.466499
5,11,0.353052
5,12,0.137082
5,13,0.391346
5,14,0.70629
5,15,0.676528
5,16,0.688201
5,17,0.589297
5,18,0.59721
5,19,0.0952847
6,0,0.200227
6,1,0.465295
6,2,0.507237
6,3,0.785165
6,4,0.37801
6,5,0.550174
6,6,0
6,7,0.1959
6,8,0.123539
6,9,0.254715
6,10,0.088143
6,11,0.202527
6,12,0.414765
6,13,0.164032
6,14,0.462265
6,15,0.229032
6,16,0.722678
6,17,0.689828
6,18,0.480821
6,19,0.639535
7,0,0.322035
7,1,0.557319
7,2,0.389201
7,3,0.592801
7,4,0.182384
7,5,0.503685
7,6,0.1959
7,7,0
7,8,0.310519
7,9,0.296771
7,10,0.204653
7,11,0.185639
7,12,0.388904
7,13,0.228448
7,14,0.289935
7,15,0.175203
7,16,0.526996
7,17,0.498673
7,18,0.285867
7,19,0.598954
8,0,0.251377
8,1,0.501885
8,2,0.627104
8,3,0.903214
8,4,0.488925
8,5,0.651744
8,6,0.123539
8,7,0.310519
8,8,0
8,9,0.243957
8,10,0.188453
8,11,0.317196
8,12,0.51469
8,13,0.260813
8,14,0.550131
8,15,0.285649
8,16,0.835817
8,17,0.808684
8,18,0.589027
8,19,0.736746
9,0,0.45323
9,1,0.717958
9,2,0.685131
9,3,0.828423
9,4,0.414125
9,5,0.776869
9,6,0.254715
9,7,0.296771
9,8,0.243957
9,9,0
9,10,0.340361
9,11,0.425508
9,12,0.64785
9,13,0.412375
9,14,0.39798
9,15,0.140884
9,16,0.738809
9,17,0.743487
9,18,0.490496
9,19,0.870366
10,0,0.126874
10,1,0.387121
10,2,0.4427
10,3,0.764743
10,4,0.380617
10,5,0.466499
10,6,0.088143
10,7,0.204653
10,8,0.188453
10,9,0.340361
10,10,0
10,11,0.130722
10,12,0.330052
10,13,0.0765172
10,14,0.492276
10,15,0.294317
10,16,0.7136
10,17,0.668168
10,18,0.484655
10,19,0.554262
11,0,0.180526
11,1,0.377139
11,2,0.312019
11,3,0.660904
11,4,0.319222
11,5,0.353052
11,6,0.202527
11,7,0.185639
11,8,0.317196
11,9,0.425508
11,10,0.130722
11,11,0
11,12,0.22236
11,13,0.0815065
11,14,0.46261
11,15,0.339148
11,16,0.622848
11,17,0.564452
11,18,0.417599
11,19,0.445449
12,0,0.291724
12,1,0.298668
12,2,0.220189
12,3,0.674507
12,4,0.45997
12,5,0.137082
12,6,0.414765
12,7,0.388904
12,8,0.51469
12,9,0.64785
12,10,0.330052
12,11,0.22236
12,12,0
12,13,0.2545
12,14,0.624213
12,15,0.556301
12,16,0.673595
12,17,0.586624
12,18,0.5353
12,19,0.224842
13,0,0.102044
13,1,0.3326
13,2,0.384031
13,3,0.741748
13,4,0.386016
13,5,0.391346
13,6,0.164032
13,7,0.228448
13,8,0.260813
13,9,0.412375
13,10,0.0765172
13,11,0.0815065
13,12,0.2545
13,13,0
13,14,0.517104
13,15,0.351711
13,16,0.701107
13,17,0.645195
13,18,0.487582
13,19,0.478188
14,0,0.611964
14,1,0.839748
14,2,0.525288
14,3,0.45882
14,4,0.166798
14,5,0.70629
14,6,0.462265
14,7,0.289935
14,8,0.550131
14,9,0.39798
14,10,0.492276
14,11,0.46261
14,12,0.624213
14,13,0.517104
14,14,0
14,15,0.275326
14,16,0.356012
14,17,0.390581
14,18,0.145398
14,19,0.797042
15,0,0.420447
15,1,0.680616
15,2,0.561652
15,3,0.689235
15,4,0.273247
15,5,0.676528
15,6,0.229032
15,7,0.175203
15,8,0.285649
15,9,0.140884
15,10,0.294317
15,11,0.339148
15,12,0.556301
15,13,0.351711
15,14,0.275326
15,15,0
15,16,0.602458
15,17,0.603196
