generation,population,prop_loci_fixed,mean_alleles_per_locus
0,0,4,4.85
0,1,4,4.85
0,2,4,4.85
0,3,4,4.85
0,4,4,4.85
0,5,4,4.85
0,6,4,4.85
0,7,4,4.85
0,8,4,4.85
0,9,4,4.85
0,10,4,4.85
0,11,4,4.85
0,12,4,4.85
0,13,4,4.85
0,14,4,4.85
0,15,4,4.85
0,16,4,4.85
0,17,4,4.85
0,18,4,4.85
0,19,4,4.86667
100,0,4,4.48333
100,1,5,3.21667
100,2,5,3.41667
100,3,4,4.31667
100,4,5,4.06667
100,5,4,3.96667
100,6,4,4.4
100,7,4,4.33333
100,8,4,4.15
100,9,6,3.13333
100,10,4,4.55
100,11,4,4.51667
100,12,5,3.88333
100,13,4,4.63333
100,14,4,3.35
100,15,4,3.95
100,16,4,4.31667
100,17,4,4.23333
100,18,4,4.35
100,19,4,4.05
200,0,4,4.16667
200,1,5,3.5
200,2,11,2.38333
200,3,4,3.58333
200,4,5,3.03333
200,5,4,4.11667
200,6,4,4.41667
200,7,4,4.41667
200,8,4,4.26667
200,9,4,3.3
200,10,4,4.23333
200,11,4,4.3
200,12,4,4.48333
200,13,4,4.31667
200,14,7,2.4
200,15,4,4.36667
200,16,4,3.51667
200,17,4,3.65
200,18,4,3.45
200,19,5,3.6
300,0,4,4.13333
300,1,4,3.73333
300,2,4,3.86667
300,3,5,3.03333
300,4,4,3.8
300,5,4,4.08333
300,6,4,4.23333
300,7,4,4.5
300,8,4,4.05
300,9,4,4.15
300,10,4,4.21667
300,11,4,4.55
300,12,4,4.35
300,13,4,4.26667
300,14,6,2.88333
300,15,4,4.26667
300,16,5,3.08333
300,17,5,3.16667
300,18,4,3.95
300,19,4,3.76667
400,0,4,4.48333
400,1,4,4.06667
400,2,5,4.08333
400,3,5,2.86667
400,4,4,3.6
400,5,4,3.73333
400,6,4,4.3
400,7,4,4.41667
400,8,4,4.18333
400,9,4,3.95
400,10,4,4.23333
400,11,4,4.41667
400,12,4,4.41667
400,13,4,4.38333
400,14,5,3.05
400,15,4,3.93333
400,16,6,2.86667
400,17,5,2.85
400,18,4,3.9
400,19,4,3.73333
500,0,4,4.38333
500,1,5,3.95
500,2,4,3.98333
500,3,6,2.66667
500,4,4,3.83333
500,5,4,3.58333
500,6,4,4.26667
500,7,4,4.2
500,8,4,4.05
500,9,4,4.03333
500,10,4,4.35
500,11,4,4.23333
500,12,4,4.3
500,13,4,4.31667
500,14,4,3.46667
500,15,4,3.98333
500,16,6,2.7
500,17,6,2.63333
500,18,4,4.03333
500,19,5,3.65
600,0,4,4.15
600,1,4,3.83333
600,2,4,3.88333
600,3,8,2.4
600,4,4,3.96667
600,5,5,3.61667
600,6,4,4.11667
600,7,4,4.2
600,8,4,4.21667
600,9,4,4.06667
600,10,4,4.18333
600,11,4,4.23333
600,12,4,4.1
600,13,4,4.21667
600,14,4,3.46667
600,15,4,4.15
600,16,7,2.51667
600,17,9,2.26667
600,18,4,4.06667
600,19,5,3.71667
700,0,3,4.16667
700,1,4,3.81667
700,2,5,3.95
700,3,11,2.21667
700,4,4,3.98333
700,5,4,3.88333
700,6,4,4
700,7,4,4.01667
700,8,4,4.06667
700,9,5,3.7
700,10,4,3.98333
700,11,4,4.2
700,12,3,4.03333
700,13,4,4.08333
700,14,4,3.38333
700,15,4,4.05
700,16,12,2.18333
700,17,12,2.16667
700,18,4,3.93333
700,19,5,3.66667
800,0,6,3.86667
800,1,6,3.66667
800,2,5,3.73333
800,3,12,2.1
800,4,4,3.96667
800,5,6,3.61667
800,6,5,3.86667
800,7,7,3.8
800,8,6,3.73333
800,9,4,3.9
800,10,4,3.9
800,11,5,3.83333
800,12,6,3.71667
800,13,5,3.85
800,14,4,3.48333
800,15,4,3.88333
800,16,12,2.06667
800,17,12,2.11667
800,18,4,3.91667
800,19,6,3.46667
900,0,5,3.8
900,1,5,3.63333
900,2,6,3.48333
900,3,15,1.98333
900,4,4,3.96667
900,5,5,3.58333
900,6,6,3.68333
900,7,5,3.75
900,8,6,3.7
900,9,5,3.65
900,10,5,3.63333
900,11,5,3.75
900,12,5,3.78333
900,13,5,3.81667
900,14,6,3.63333
900,15,5,3.73333
900,16,14,2
900,17,14,2.01667
900,18,5,3.95
900,19,5,3.28333
1000,0,5,3.63333
1000,1,5,3.6
1000,2,6,3.5
1000,3,21,1.81667
1000,4,5,3.83333
1000,5,6,3.51667
1000,6,7,3.56667
1000,7,6,3.61667
1000,8,7,3.65
1000,9,7,3.38333
1000,10,6,3.68333
1000,11,5,3.7
1000,12,6,3.56667
1000,13,7,3.61667
1000,14,5,3.76667
1000,15,5,3.71667
1000,16,19,1.83333
1000,17,16,1.85
1000,18,4,3.7
1000,19,7,3.05
1100,0,7,3.56667
1100,1,6,3.58333
1100,2,6,3.3
1100,3,24,1.7
1100,4,6,3.71667
1100,5,6,3.38333
1100,6,7,3.56667
1100,7,7,3.55
1100,8,7,3.58333
1100,9,8,3.26667
1100,10,7,3.56667
1100,11,6,3.58333
1100,12,7,3.53333
1100,13,7,3.66667
1100,14,6,3.6
1100,15,7,3.46667
1100,16,22,1.71667
1100,17,21,1.75
1100,18,4,3.61667
1100,19,6,3.05
1200,0,6,3.5
1200,1,6,3.2
1200,2,7,3.21667
1200,3,27,1.63333
1200,4,7,3.41667
1200,5,6,3.1
1200,6,6,3.45
1200,7,6,3.45
1200,8,7,3.43333
1200,9,7,3.23333
1200,10,6,3.45
1200,11,6,3.46667
1200,12,6,3.3
