generation,populationA,populationB,ct,prop_of_popB_from_popA
0,0,1,1,0.00502513
0,0,6,1,0.00471698
0,0,8,1,0.00487805
0,0,10,1,0.00483092
0,0,11,1,0.00478469
0,0,12,1,0.00485437
0,0,13,1,0.00480769
0,1,0,1,0.00478469
0,1,12,1,0.00485437
0,2,5,1,0.00483092
0,2,12,1,0.00485437
0,2,19,1,0.00485437
0,3,16,1,0.00478469
0,3,17,1,0.0047619
0,4,7,1,0.00485437
0,4,14,1,0.00444444
0,4,15,1,0.00485437
0,4,18,1,0.00505051
0,5,2,1,0.00480769
0,5,12,1,0.00485437
0,5,19,1,0.00485437
0,6,0,1,0.00478469
0,6,7,1,0.00485437
0,6,8,1,0.00487805
0,6,9,1,0.00483092
0,6,10,1,0.00483092
0,6,11,1,0.00478469
0,6,13,1,0.00480769
0,6,15,1,0.00485437
0,7,4,1,0.00497512
0,7,6,1,0.00471698
0,7,9,1,0.00483092
0,7,10,1,0.00483092
0,7,11,1,0.00478469
0,7,13,1,0.00480769
0,7,14,1,0.00444444
0,7,15,1,0.00485437
0,7,18,1,0.00505051
0,8,0,1,0.00478469
0,8,6,1,0.00471698
0,8,9,1,0.00483092
0,8,10,1,0.00483092
0,8,13,1,0.00480769
0,8,15,1,0.00485437
0,9,6,1,0.00471698
0,9,7,1,0.00485437
0,9,8,1,0.00487805
0,9,15,1,0.00485437
0,10,0,1,0.00478469
0,10,6,1,0.00471698
0,10,7,1,0.00485437
0,10,8,1,0.00487805
0,10,11,1,0.00478469
0,10,13,1,0.00480769
0,10,15,1,0.00485437
0,11,0,1,0.00478469
0,11,6,1,0.00471698
0,11,7,1,0.00485437
0,11,10,1,0.00483092
0,11,12,1,0.00485437
0,11,13,1,0.00480769
0,12,0,1,0.00478469
0,12,1,1,0.00502513
0,12,2,1,0.00480769
0,12,5,1,0.00483092
0,12,11,1,0.00478469
0,12,13,1,0.00480769
0,12,19,1,0.00485437
0,13,0,1,0.00478469
0,13,6,1,0.00471698
0,13,7,1,0.00485437
0,13,8,1,0.00487805
