generation,population1,population2,ld,f_st
0,0,1,0.00210032,0.00630643
0,0,2,0.00210144,0.00620608
0,0,3,0.00214013,0.00655616
0,0,4,0.00208147,0.00561568
0,0,5,0.00210328,0.00593903
0,0,6,0.0020492,0.00462514
0,0,7,0.00205702,0.00640797
0,0,8,0.00202204,0.00582242
0,0,9,0.00211084,0.00687922
0,0,10,0.00205179,0.00587085
0,0,11,0.00204134,0.00536346
0,0,12,0.00215104,0.00605595
0,0,13,0.00208568,0.00552248
0,0,14,0.00200723,0.00589018
0,0,15,0.00200982,0.00534611
0,0,16,0.00207769,0.00554276
0,0,17,0.00200145,0.0053292
0,0,18,0.00217233,0.00585277
0,0,19,0.00216124,0.00544625
0,1,2,0.00218299,0.00656057
0,1,3,0.00215409,0.00580085
0,1,4,0.00212088,0.00543587
0,1,5,0.00213943,0.00564706
0,1,6,0.00209961,0.00509229
0,1,7,0.00210319,0.00688484
0,1,8,0.00207164,0.0060101
0,1,9,0.00216924,0.0058975
0,1,10,0.00208881,0.00475401
0,1,11,0.0020714,0.00627035
0,1,12,0.00217927,0.00526974
0,1,13,0.00211803,0.00541345
0,1,14,0.00205482,0.00555843
0,1,15,0.0020751,0.00549463
0,1,16,0.00213014,0.00635864
0,1,17,0.00204091,0.00555199
0,1,18,0.00224385,0.00712554
0,1,19,0.00220719,0.00542424
0,2,3,0.00217454,0.00542206
0,2,4,0.00212989,0.00505554
0,2,5,0.00216193,0.00599364
0,2,6,0.00211448,0.00575815
0,2,7,0.00214098,0.00552463
0,2,8,0.0021255,0.00628521
0,2,9,0.00218598,0.00585582
0,2,10,0.00208666,0.00575347
0,2,11,0.00209441,0.00556906
0,2,12,0.00220688,0.00627669
0,2,13,0.00213319,0.00523279
0,2,14,0.0020749,0.00549971
0,2,15,0.00207861,0.0055501
0,2,16,0.00213064,0.0061275
0,2,17,0.00204141,0.00493301
0,2,18,0.00225627,0.00612897
0,2,19,0.00219034,0.00643428
0,3,4,0.00212069,0.0054174
0,3,5,0.00215914,0.00645438
0,3,6,0.00207887,0.00537698
0,3,7,0.0021155,0.00660296
0,3,8,0.00210929,0.00637118
0,3,9,0.00218416,0.00566029
0,3,10,0.00211409,0.00494265
0,3,11,0.00207997,0.00553146
0,3,12,0.00220957,0.00625451
0,3,13,0.00209175,0.00545557
0,3,14,0.00205256,0.00507918
0,3,15,0.00208351,0.00499417
0,3,16,0.00212595,0.0057828
0,3,17,0.00205028,0.00547244
0,3,18,0.00221931,0.0058581
0,3,19,0.00219058,0.00652164
0,4,5,0.002107,0.0050047
0,4,6,0.00204901,0.00493008
0,4,7,0.00207187,0.00501882
0,4,8,0.00206954,0.00541687
0,4,9,0.00213225,0.00500672
0,4,10,0.00204784,0.0044074
0,4,11,0.00205796,0.00455412
0,4,12,0.00214888,0.00459735
0,4,13,0.00208458,0.00526225
0,4,14,0.00201024,0.00452838
0,4,15,0.00202961,0.00466384
0,4,16,0.00208551,0.00486643
0,4,17,0.00200733,0.00520227
0,4,18,0.00220653,0.00656755
0,4,19,0.00217398,0.00512567
0,5,6,0.00206661,0.00567523
0,5,7,0.002117,0.00583513
0,5,8,0.00207558,0.00647189
0,5,9,0.0021577,0.00610707
0,5,10,0.00210843,0.00500629
0,5,11,0.00210989,0.00597092
0,5,12,0.00217804,0.00588874
0,5,13,0.00211093,0.00509078
0,5,14,0.00202925,0.00543596
0,5,15,0.00205874,0.00582205
0,5,16,0.00209766,0.00584422
0,5,17,0.00206692,0.00581479
0,5,18,0.00220699,0.00558901
0,5,19,0.00217006,0.00646217
0,6,7,0.00205979,0.00567598
0,6,8,0.00203764,0.00440547
0,6,9,0.00209169,0.00554971
0,6,10,0.00203754,0.0043823
0,6,11,0.00201513,0.00473679
0,6,12,0.00212255,0.00466448
0,6,13,0.00204495,0.00547543
0,6,14,0.00199705,0.00478812
0,6,15,0.00201151,0.00489779
0,6,16,0.00206398,0.00510587
0,6,17,0.00200115,0.00502163
0,6,18,0.00215397,0.0056797
0,6,19,0.0021255,0.00489881
0,7,8,0.00206443,0.00571612
0,7,9,0.00213084,0.00578828
0,7,10,0.00206227,0.00514539
0,7,11,0.00207853,0.00571238
0,7,12,0.00216745,0.00625168
0,7,13,0.00209461,0.00494584
0,7,14,0.00202261,0.00507175
0,7,15,0.00203467,0.00542505
0,7,16,0.00208373,0.00593776
0,7,17,0.00203173,0.00518847
0,7,18,0.00220149,0.00623354
0,7,19,0.0021593,0.00653685
0,8,9,0.00208065,0.00586163
0,8,10,0.00204188,0.00464556
0,8,11,0.0020008,0.00532851
0,8,12,0.00212437,0.00599338
0,8,13,0.00205035,0.00502672
0,8,14,0.00201482,0.0049564
0,8,15,0.00202306,0.00490005
0,8,16,0.00205592,0.00560412
0,8,17,0.00200454,0.00528138
0,8,18,0.00218801,0.00643963
0,8,19,0.00211913,0.00518104
0,9,10,0.00212707,0.00479518
0,9,11,0.00208611,0.00511564
0,9,12,0.00220438,0.00572957
0,9,13,0.0021262,0.00512876
0,9,14,0.00207312,0.00526499
0,9,15,0.00208743,0.00605498
0,9,16,0.00210342,0.00550452
0,9,17,0.0020408,0.00513275
0,9,18,0.00225752,0.00612751
0,9,19,0.00224756,0.00574599
0,10,11,0.00201972,0.00483033
0,10,12,0.00209389,0.00507852
0,10,13,0.00206383,0.0050417
