generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
0,0,0.592845,0.844266,1.28554e+152,0.836,0.0526316,0.544419,
0,1,0.857946,0.847252,0.475114,0.796,0.0150754,0.382113,
0,2,0.623564,0.384382,0.465314,0.832,0.00480769,0.638292,
0,3,0.297535,0.056713,0.442369,0.832,0.00480769,0.588274,
0,4,0.272656,0.477665,3.44884e-311,0.804,0.0746269,0.311938,
0,5,0.812169,0.479977,0.277269,0.828,0.0193237,0.448219,
0,6,0.392785,0.836079,0.536713,0.848,0.0707547,0.498376,
0,7,0.337396,0.648172,0.218029,0.824,0.0728155,0.419404,
0,8,0.368242,0.957155,0.0197216,0.82,0.0341463,0.429147,
0,9,0.140351,0.870087,0.432621,0.828,0.0289855,0.249344,
0,10,0.473608,0.800911,0.463574,0.828,0.115942,0.570904,
0,11,0.520477,0.67888,0.25303,0.836,0.0526316,0.462527,
0,12,0.720633,0.58202,1.12638e+75,0.824,0.0728155,0.442209,
0,13,0.537373,0.758616,0.367439,0.832,0.0673077,0.545178,
0,14,0.105908,0.4736,0.34827,0.9,0.0133333,0.132739,
0,15,0.186332,0.736918,0.359001,0.824,0.0436893,0.257032,
0,16,0.21655,0.135218,0.232247,0.836,0.0239234,0.484013,
0,17,0.324141,0.149675,-1.10493e+75,0.84,0.0190476,0.657692,
0,18,0.222321,0.386489,0.453391,0.792,0.0252525,0.323892,
0,19,0.902598,0.44995,0.471739,0.824,0.0339806,0.42682,
20,0,0.592845,0.844266,1.25551e+152,0.856,0.0233645,0.544419,
20,1,0.857946,0.847252,1.37081e+152,0.784,0,0.382113,
20,2,0.623564,0.384382,0.573894,0.848,0.0283019,0.638292,
20,3,0.297535,0.056713,0.581671,0.844,0.0189573,0.588274,
20,4,0.272656,0.477665,0.533618,0.812,0.0246305,0.311938,
20,5,0.812169,0.479977,0.517255,0.852,0.0140845,0.448219,
20,6,0.392785,0.836079,0.78917,0.844,0.0521327,0.498376,
20,7,0.337396,0.648172,0.672609,0.832,0.0528846,0.419404,
20,8,0.368242,0.957155,1.48856e+229,0.836,0.00956938,0.429147,
20,9,0.140351,0.870087,0.579293,0.832,0.0144231,0.249344,
20,10,0.473608,0.800911,0.619772,0.832,0.0528846,0.570904,
20,11,0.520477,0.67888,1.45378e+229,0.856,0.0420561,0.462527,
20,12,0.720633,0.58202,0.504231,0.836,0.0430622,0.442209,
20,13,0.537373,0.758616,-1.07923e+75,0.86,0.0837209,0.545178,
20,14,0.105908,0.4736,0.542105,0.92,0.00869565,0.132739,
20,15,0.186332,0.736918,0.654895,0.848,0.00471698,0.257032,
20,16,0.21655,0.135218,-1.09969e+75,0.844,0.0331754,0.484013,
20,17,0.324141,0.149675,0.641173,0.836,0.0191388,0.657692,
20,18,0.222321,0.386489,0.529158,0.828,0.0144928,0.323892,
20,19,0.902598,0.44995,0.458303,0.836,0,0.42682,
40,0,0.592845,0.844266,0.55134,0.864,0.00925926,0.544419,
40,1,0.857946,0.847252,0.626904,0.784,0,0.382113,
40,2,0.623564,0.384382,-8.87145e+152,0.848,0.0377358,0.638292,
40,3,0.297535,0.056713,0.503551,0.868,0.0368664,0.588274,
