generation,pop1,pop2,clustering,modularity,threshold
0,0,1,0,0.5,0.01
0,0,1,0,0,0.1
0,0,1,0,0,0.3
0,0,1,0,0,0.5
0,0,2,0,0,0.01
0,0,2,0,0,0.1
0,0,2,0,0,0.3
0,0,2,0,0,0.5
0,0,3,0,0,0.01
0,0,3,0,0,0.1
0,0,3,0,0,0.3
0,0,3,0,0,0.5
0,0,4,0,0,0.01
0,0,4,0,0,0.1
0,0,4,0,0,0.3
0,0,4,0,0,0.5
0,0,5,0,0,0.01
0,0,5,0,0,0.1
0,0,5,0,0,0.3
0,0,5,0,0,0.5
0,0,6,0,0.5,0.01
0,0,6,0,0,0.1
0,0,6,0,0,0.3
0,0,6,0,0,0.5
0,0,7,0,0,0.01
0,0,7,0,0,0.1
0,0,7,0,0,0.3
0,0,7,0,0,0.5
0,0,8,0,0.444444,0.01
0,0,8,0,0,0.1
0,0,8,0,0,0.3
0,0,8,0,0,0.5
0,0,9,0,0,0.01
0,0,9,0,0,0.1
0,0,9,0,0,0.3
0,0,9,0,0,0.5
0,0,10,0,0,0.01
0,0,10,0,0,0.1
0,0,10,0,0,0.3
0,0,10,0,0,0.5
0,0,11,0,-5.55112e-17,0.01
0,0,11,0,0,0.1
0,0,11,0,0,0.3
0,0,11,0,0,0.5
0,0,12,0,0.666667,0.01
0,0,12,0,0,0.1
0,0,12,0,0,0.3
0,0,12,0,0,0.5
0,0,13,0,0,0.01
0,0,13,0,0,0.1
0,0,13,0,0,0.3
0,0,13,0,0,0.5
0,0,14,0,0,0.01
0,0,14,0,0,0.1
0,0,14,0,0,0.3
0,0,14,0,0,0.5
0,0,15,0,0,0.01
0,0,15,0,0,0.1
0,0,15,0,0,0.3
0,0,15,0,0,0.5
0,0,16,0,0,0.01
0,0,16,0,0,0.1
0,0,16,0,0,0.3
0,0,16,0,0,0.5
0,0,17,0,0,0.01
0,0,17,0,0,0.1
0,0,17,0,0,0.3
0,0,17,0,0,0.5
0,0,18,0,0,0.01
0,0,18,0,0,0.1
0,0,18,0,0,0.3
0,0,18,0,0,0.5
0,0,19,0,0.5,0.01
0,0,19,0,0,0.1
0,0,19,0,0,0.3
0,0,19,0,0,0.5
0,1,2,0,0,0.01
0,1,2,0,0,0.1
0,1,2,0,0,0.3
0,1,2,0,0,0.5
0,1,3,0,0,0.01
0,1,3,0,0,0.1
0,1,3,0,0,0.3
0,1,3,0,0,0.5
0,1,4,0,0,0.01
0,1,4,0,0,0.1
0,1,4,0,0,0.3
0,1,4,0,0,0.5
0,1,5,0,0.5,0.01
0,1,5,0,0,0.1
0,1,5,0,0,0.3
0,1,5,0,0,0.5
0,1,6,0,0,0.01
0,1,6,0,0,0.1
0,1,6,0,0,0.3
0,1,6,0,0,0.5
0,1,7,0,0,0.01
0,1,7,0,0,0.1
0,1,7,0,0,0.3
0,1,7,0,0,0.5
0,1,8,0,0,0.01
0,1,8,0,0,0.1
0,1,8,0,0,0.3
0,1,8,0,0,0.5
0,1,9,0,0,0.01
0,1,9,0,0,0.1
0,1,9,0,0,0.3
0,1,9,0,0,0.5
0,1,10,0,0,0.01
0,1,10,0,0,0.1
0,1,10,0,0,0.3
0,1,10,0,0,0.5
0,1,11,0,0.5,0.01
0,1,11,0,0,0.1
0,1,11,0,0,0.3
0,1,11,0,0,0.5
0,1,12,0,0,0.01
0,1,12,0,0,0.1
0,1,12,0,0,0.3
0,1,12,0,0,0.5
0,1,13,0,0,0.01
0,1,13,0,0,0.1
0,1,13,0,0,0.3
0,1,13,0,0,0.5
0,1,14,0,0,0.01
0,1,14,0,0,0.1
0,1,14,0,0,0.3
0,1,14,0,0,0.5
0,1,15,0,0,0.01
0,1,15,0,0,0.1
0,1,15,0,0,0.3
0,1,15,0,0,0.5
0,1,16,0,0.166667,0.01
0,1,16,0,0,0.1
0,1,16,0,0,0.3
0,1,16,0,0,0.5
